Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17
,,,,,,,,,,,,,,,,
9:,7,115,1,135.6168,0.04589,6.2235,121.1,123.9,125.4,129.2,131.4 135.6,139.8,142.1,145.9,147.3,150.1
9:,8,116,1,136.0501,0.04597,6.2542,121.5,124.3,125.8,129.6,131.8 136.1,140.3,142.5,146.3,147.8,150.6
9:,9,117,1,136.4829,0.04604,6.2837,121.9,124.7,126.1,130.0,132.2 136.5,140.7,143.0,146.8,148.3,151.1
,,,,,,,,,,,,,,,,
9:1,0,118,1,136.9153,0.04612,6.3145,122.2,125.0,126.5,130.4,132.7 136.9,141.2,143.5,147.3,148.8,151.6
,,,,,,,,,,,,,,,,
9:1,1,119,1,137.3474,0.04619,6.3441,122.6,125.4,126.9,130.8,133.1 137.3,141.6,143.9,147.8,149.3,152.1
10:,0,120,1,137.7795,0.04626,6.3737,123.0,125.8,127.3,131.2,133.5 137.8,142.1,144.4,148.3,149.8,152.6
,,,,,,,,,,,,,,,,
10:,1,121,1,138.2119,0.04633,6.4034,123.3,126.2,127.7,131.6,133.9 138.2,142.5,144.8,148.7,150.3,153.1
,,,,,,,,,,,,,,,,
10:,2,122,1,138.6452,0.04640,6.4331,123.7,126.5,128.1,132.0,134.3 138.6,143.0,145.3,149.2,150.7,153.6
,,,,,,,,,,,,,,,,
10:,3,123,1,139.0797,0.04647,6.4630,124.0,126.9,128.4,132.4,134.7 139.1,143.4,145.8,149.7,151.2,154.1
,,,,,,,,,,,,,,,,
10:,4,124,1,139.5158,0.04654,6.4931,124.4,127.3,128.8,132.8,135.1 139.5,143.9,146.2,150.2,151.7,154.6
,,,,,,,,,,,,,,,,
10:,5,125,1,139.9540,0.04661,6.5233,124.8,127.7,129.2,133.2,135.6 140.0,144.4,146.7,150.7,152.2,155.1
10:,6,126,1,140.3948,0.04667,6.5522,125.2,128.1,129.6,133.6,136.0 140.4,144.8,147.2,151.2,152.7,155.6
,,,,,,,,,,,,,,,,
10:,7,127,1,140.8387,0.04674,6.5828,125.5,128.5,130.0,134.0,136.4 140.8,145.3,147.7,151.7,153.2,156.2
,,,,,,,,,,,,,,,,
10:,8,128,1,141.2859,0.04680,6.6122,125.9,128.9,130.4,134.4,136.8 141.3,145.7,148.1,152.2,153.7,156.7
,,,,,,,,,,,,,,,,
10:,9,129,1,141.7368,0.04686,6.6418,126.3,129.2,130.8,134.9,137.3 141.7,146.2,148.6,152.7,154.2,157.2
,,,,,,,,,,,,,,,,
10:1,0,130,1,142.1916,0.04692,6.6716,126.7,129.6,131.2,135.3,137.7 142.2,146.7,149.1,153.2,154.7,157.7
,,,,,,,,,,,,,,,,
10:1,1,131,1,142.6501,0.04698,6.7017,127.1,130.0,131.6,135.7,138.1 142.7,147.2,149.6,153.7,155.3,158.2
11:,0,132,1,143.1126,0.04703,6.7306,127.5,130.5,132.0,136.1,138.6 143.1,147.7,150.1,154.2,155.8,158.8
,,,,,,,,,,,,,,,,
11:,1,133,1,143.5795,0.04709,6.7612,127.9,130.9,132.5,136.6,139.0 143.6,148.1,150.6,154.7,156.3,159.3
,,,,,,,,,,,,,,,,
11:,2,134,1,144.0511,0.04714,6.7906,128.3,131.3,132.9,137.0,139.5 144.1,148.6,151.1,155.2,156.8,159.8
,,,,,,,,,,,,,,,,
11:,3,135,1,144.5276,0.04719,6.8203,128.7,131.7,133.3,137.5,139.9 144.5,149.1,151.6,155.7,157.4,160.4
"--- PAGE 4, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
r: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
11:,4,136,1,145.0093,0.04723,6.8488,129.1,132.1,133.7,137.9,140.4 145.0,149.6,152.1,156.3,157.9,160.9
11:,5,137,1,145.4964,0.04728,6.8791,129.5,132.6,134.2,138.4,140.9 145.5,150.1,152.6,156.8,158.4,161.5
11:,6,138,1,145.9891,0.04732,6.9082,129.9,133.0,134.6,138.8,141.3 146.0,150.6,153.1,157.4,159.0,162.1
,,,,,,,,,,,,,,,,
11:,7,139,1,146.4878,0.04736,6.9377,130.3,133.4,135.1,139.3,141.8 146.5,151.2,153.7,157.9,159.5,162.6
11:,8,140,1,146.9927,0.04740,6.9675,130.8,133.9,135.5,139.8,142.3 147.0,151.7,154.2,158.5,160.1,163.2
11:,9,141,1,147.5041,0.04744,6.9976,131.2,134.3,136.0,140.3,142.8 147.5,152.2,154.8,159.0,160.7,163.8
,,,,,,,,,,,,,,,,
11:1,0,142,1,148.0224,0.04747,7.0266,131.7,134.8,136.5,140.7,143.3 148.0,152.8,155.3,159.6,161.2,164.4
,,,,,,,,,,,,,,,,
11:1,1,143,1,148.5478,0.04750,7.0560,132.1,135.3,136.9,141.2,143.8 148.5,153.3,155.9,160.2,161.8,165.0
12:,0,144,1,149.0807,0.04753,7.0858,132.6,135.8,137.4,141.7,144.3 149.1,153.9,156.4,160.7,162.4,165.6
,,,,,,,,,,,,,,,,
12:,1,145,1,149.6212,0.04755,7.1145,133.1,136.2,137.9,142.2,144.8 149.6,154.4,157.0,161.3,163.0,166.2
,,,,,,,,,,,,,,,,
12:,2,146,1,150.1694,0.04758,7.1451,133.5,136.7,138.4,142.8,145.4 150.2,155.0,157.6,161.9,163.6,166.8
,,,,,,,,,,,,,,,,
12:,3,147,1,150.7256,0.04759,7.1730,134.0,137.2,138.9,143.3,145.9 150.7,155.6,158.2,162.5,164.2,167.4
,,,,,,,,,,,,,,,,
12:,4,148,1,151.2899,0.04761,7.2029,134.5,137.7,139.4,143.8,146.4 151.3,156.1,158.8,163.1,164.8,168.0
,,,,,,,,,,,,,,,,
12:,5,149,1,151.8623,0.04762,7.2317,135.0,138.3,140.0,144.4,147.0 151.9,156.7,159.4,163.8,165.5,168.7
12:,6,150,1,152.4425,0.04763,7.2608,135.6,138.8,140.5,144.9,147.5 152.4,157.3,160.0,164.4,166.1,169.3
,,,,,,,,,,,,,,,,
12:,7,151,1,153.0298,0.04763,7.2888,136.1,139.3,141.0,145.5,148.1 153.0,157.9,160.6,165.0,166.7,170.0
,,,,,,,,,,,,,,,,
12:,8,152,1,153.6234,0.04764,7.3186,136.6,139.9,141.6,146.0,148.7 153.6,158.6,161.2,165.7,167.4,170.6
,,,,,,,,,,,,,,,,
12:,9,153,1,154.2223,0.04763,7.3456,137.1,140.4,142.1,146.6,149.3 154.2,159.2,161.8,166.3,168.0,171.3
,,,,,,,,,,,,,,,,
12:1,0,154,1,154.8258,0.04763,7.3744,137.7,141.0,142.7,147.2,149.9 154.8,159.8,162.5,167.0,168.7,172.0
,,,,,,,,,,,,,,,,
12:1,1,155,1,155.4329,0.04762,7.4017,138.2,141.5,143.3,147.8,150.4 155.4,160.4,163.1,167.6,169.4,172.7
13:,0,156,1,156.0426,0.04760,7.4276,138.8,142.1,143.8,148.3,151.0 156.0,161.1,163.7,168.3,170.0,173.3
,,,,,,,,,,,,,,,,
13:,1,157,1,156.6539,0.04758,7.4536,139.3,142.6,144.4,148.9,151.6 156.7,161.7,164.4,168.9,170.7,174.0
,,,,,,,,,,,,,,,,
13:,2,158,1,157.2660,0.04756,7.4796,139.9,143.2,145.0,149.5,152.2 157.3,162.3,165.0,169.6,171.3,174.7
,,,,,,,,,,,,,,,,
13:,3,159,1,157.8775,0.04754,7.5055,140.4,143.8,145.5,150.1,152.8 157.9,162.9,165.7,170.2,172.0,175.3
"--- PAGE 5, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
r: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
13:,4,160,1,158.4871,0.04751,7.5297,141.0,144.3,146.1,150.7,153.4 158.5,163.6,166.3,170.9,172.6,176.0
13:,5,161,1,159.0937,0.04747,7.5522,141.5,144.9,146.7,151.3,154.0 159.1,164.2,166.9,171.5,173.3,176.7
13:,6,162,1,159.6962,0.04744,7.5760,142.1,145.4,147.2,151.8,154.6 159.7,164.8,167.5,172.2,173.9,177.3
,,,,,,,,,,,,,,,,
13:,7,163,1,160.2939,0.04740,7.5979,142.6,146.0,147.8,152.4,155.2 160.3,165.4,168.2,172.8,174.6,178.0
13:,8,164,1,160.8861,0.04735,7.6180,143.2,146.6,148.4,153.0,155.7 160.9,166.0,168.8,173.4,175.2,178.6
13:,9,165,1,161.4720,0.04730,7.6376,143.7,147.1,148.9,153.6,156.3 161.5,166.6,169.4,174.0,175.8,179.2
,,,,,,,,,,,,,,,,
13:1,0,166,1,162.0505,0.04725,7.6569,144.2,147.6,149.5,154.1,156.9 162.1,167.2,170.0,174.6,176.5,179.9
,,,,,,,,,,,,,,,,
13:1,1,167,1,162.6207,0.04720,7.6757,144.8,148.2,150.0,154.7,157.4 162.6,167.8,170.6,175.2,177.1,180.5
14:,0,168,1,163.1816,0.04714,7.6924,145.3,148.7,150.5,155.2,158.0 163.2,168.4,171.2,175.8,177.6,181.1
,,,,,,,,,,,,,,,,
14:,1,169,1,163.7321,0.04707,7.7069,145.8,149.2,151.1,155.7,158.5 163.7,168.9,171.7,176.4,178.2,181.7
,,,,,,,,,,,,,,,,
14:,2,170,1,164.2717,0.04701,7.7224,146.3,149.7,151.6,156.3,159.1 164.3,169.5,172.3,177.0,178.8,182.2
,,,,,,,,,,,,,,,,
14:,3,171,1,164.7994,0.04694,7.7357,146.8,150.3,152.1,156.8,159.6 164.8,170.0,172.8,177.5,179.3,182.8
,,,,,,,,,,,,,,,,
14:,4,172,1,165.3145,0.04687,7.7483,147.3,150.7,152.6,157.3,160.1 165.3,170.5,173.3,178.1,179.9,183.3
,,,,,,,,,,,,,,,,
14:,5,173,1,165.8165,0.04679,7.7586,147.8,151.2,153.1,157.8,160.6 165.8,171.1,173.9,178.6,180.4,183.9
14:,6,174,1,166.3050,0.04671,7.7681,148.2,151.7,153.5,158.3,161.1 166.3,171.5,174.4,179.1,180.9,184.4
,,,,,,,,,,,,,,,,
14:,7,175,1,166.7799,0.04663,7.7769,148.7,152.2,154.0,158.7,161.5 166.8,172.0,174.8,179.6,181.4,184.9
,,,,,,,,,,,,,,,,
14:,8,176,1,167.2415,0.04655,7.7851,149.1,152.6,154.4,159.2,162.0 167.2,172.5,175.3,180.0,181.9,185.4
,,,,,,,,,,,,,,,,
14:,9,177,1,167.6899,0.04646,7.7909,149.6,153.0,154.9,159.6,162.4 167.7,172.9,175.8,180.5,182.3,185.8
,,,,,,,,,,,,,,,,
14:1,0,178,1,168.1255,0.04637,7.7960,150.0,153.5,155.3,160.0,162.9 168.1,173.4,176.2,180.9,182.8,186.3
,,,,,,,,,,,,,,,,
14:1,1,179,1,168.5482,0.04628,7.8004,150.4,153.9,155.7,160.5,163.3 168.5,173.8,176.6,181.4,183.2,186.7
15:,0,180,1,168.9580,0.04619,7.8042,150.8,154.3,156.1,160.9,163.7 169.0,174.2,177.0,181.8,183.6,187.1
,,,,,,,,,,,,,,,,
15:,1,181,1,169.3549,0.04609,7.8056,151.2,154.7,156.5,161.3,164.1 169.4,174.6,177.4,182.2,184.0,187.5
,,,,,,,,,,,,,,,,
15:,2,182,1,169.7389,0.04599,7.8063,151.6,155.1,156.9,161.6,164.5 169.7,175.0,177.8,182.6,184.4,187.9
,,,,,,,,,,,,,,,,
15:,3,183,1,170.1099,0.04589,7.8063,152.0,155.4,157.3,162.0,164.8 170.1,175.4,178.2,183.0,184.8,188.3
"--- PAGE 6, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
r: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
15:,4,184,1,170.4680,0.04579,7.8057,152.3,155.8,157.6,162.4,165.2 170.5,175.7,178.6,183.3,185.1,188.6
15:,5,185,1,170.8136,0.04569,7.8045,152.7,156.1,158.0,162.7,165.6 170.8,176.1,178.9,183.7,185.5,189.0
15:,6,186,1,171.1468,0.04559,7.8026,153.0,156.5,158.3,163.1,165.9 171.1,176.4,179.2,184.0,185.8,189.3
,,,,,,,,,,,,,,,,
15:,7,187,1,171.4680,0.04548,7.7984,153.3,156.8,158.6,163.4,166.2 171.5,176.7,179.6,184.3,186.1,189.6
15:,8,188,1,171.7773,0.04538,7.7953,153.6,157.1,159.0,163.7,166.5 171.8,177.0,179.9,184.6,186.4,189.9
15:,9,189,1,172.0748,0.04527,7.7898,154.0,157.4,159.3,164.0,166.8 172.1,177.3,180.1,184.9,186.7,190.2
,,,,,,,,,,,,,,,,
15:1,0,190,1,172.3606,0.04516,7.7838,154.3,157.7,159.6,164.3,167.1 172.4,177.6,180.4,185.2,187.0,190.5
,,,,,,,,,,,,,,,,
15:1,1,191,1,172.6345,0.04506,7.7789,154.5,158.0,159.8,164.6,167.4 172.6,177.9,180.7,185.4,187.3,190.7
16:,0,192,1,172.8967,0.04495,7.7717,154.8,158.3,160.1,164.8,167.7 172.9,178.1,181.0,185.7,187.5,191.0
,,,,,,,,,,,,,,,,
16:,1,193,1,173.1470,0.04484,7.7639,155.1,158.5,160.4,165.1,167.9 173.1,178.4,181.2,185.9,187.7,191.2
,,,,,,,,,,,,,,,,
16:,2,194,1,173.3856,0.04473,7.7555,155.3,158.8,160.6,165.3,168.2 173.4,178.6,181.4,186.1,188.0,191.4
,,,,,,,,,,,,,,,,
16:,3,195,1,173.6126,0.04462,7.7466,155.6,159.0,160.9,165.6,168.4 173.6,178.8,181.6,186.4,188.2,191.6
,,,,,,,,,,,,,,,,
16:,4,196,1,173.8280,0.04451,7.7371,155.8,159.3,161.1,165.8,168.6 173.8,179.0,181.8,186.6,188.4,191.8
,,,,,,,,,,,,,,,,
16:,5,197,1,174.0321,0.04440,7.7270,156.1,159.5,161.3,166.0,168.8 174.0,179.2,182.0,186.7,188.6,192.0
16:,6,198,1,174.2251,0.04429,7.7164,156.3,159.7,161.5,166.2,169.0 174.2,179.4,182.2,186.9,188.7,192.2
,,,,,,,,,,,,,,,,
16:,7,199,1,174.4071,0.04418,7.7053,156.5,159.9,161.7,166.4,169.2 174.4,179.6,182.4,187.1,188.9,192.3
,,,,,,,,,,,,,,,,
16:,8,200,1,174.5784,0.04407,7.6937,156.7,160.1,161.9,166.6,169.4 174.6,179.8,182.6,187.2,189.0,192.5
,,,,,,,,,,,,,,,,
16:,9,201,1,174.7392,0.04396,7.6815,156.9,160.3,162.1,166.8,169.6 174.7,179.9,182.7,187.4,189.2,192.6
,,,,,,,,,,,,,,,,
16:1,0,202,1,174.8896,0.04385,7.6689,157.0,160.5,162.3,166.9,169.7 174.9,180.1,182.8,187.5,189.3,192.7
,,,,,,,,,,,,,,,,
16:1,1,203,1,175.0301,0.04375,7.6576,157.2,160.6,162.4,167.1,169.9 175.0,180.2,183.0,187.6,189.4,192.8
17:,0,204,1,175.1609,0.04364,7.6440,157.4,160.8,162.6,167.2,170.0 175.2,180.3,183.1,187.7,189.5,192.9
,,,,,,,,,,,,,,,,
17:,1,205,1,175.2824,0.04353,7.6300,157.5,160.9,162.7,167.4,170.1 175.3,180.4,183.2,187.8,189.6,193.0
,,,,,,,,,,,,,,,,
17:,2,206,1,175.3951,0.04343,7.6174,157.7,161.1,162.9,167.5,170.3 175.4,180.5,183.3,187.9,189.7,193.1
,,,,,,,,,,,,,,,,
17:,3,207,1,175.4995,0.04332,7.6026,157.8,161.2,163.0,167.6,170.4 175.5,180.6,183.4,188.0,189.8,193.2
"--- PAGE 7, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
r: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
17:,4,208,1,175.5959,0.04322,7.5893,157.9,161.3,163.1,167.7,170.5 175.6,180.7,183.5,188.1,189.9,193.3
17:,5,209,1,175.6850,0.04311,7.5738,158.1,161.4,163.2,167.8,170.6 175.7,180.8,183.5,188.1,189.9,193.3
17:,6,210,1,175.7672,0.04301,7.5597,158.2,161.5,163.3,167.9,170.7 175.8,180.9,183.6,188.2,190.0,193.4
,,,,,,,,,,,,,,,,
17:,7,211,1,175.8432,0.04291,7.5454,158.3,161.7,163.4,168.0,170.8 175.8,180.9,183.7,188.3,190.0,193.4
17:,8,212,1,175.9133,0.04281,7.5308,158.4,161.7,163.5,168.1,170.8 175.9,181.0,183.7,188.3,190.1,193.4
17:,9,213,1,175.9781,0.04271,7.5160,158.5,161.8,163.6,168.2,170.9 176.0,181.0,183.8,188.3,190.1,193.5
,,,,,,,,,,,,,,,,
17:1,0,214,1,176.0380,0.04261,7.5010,158.6,161.9,163.7,168.3,171.0 176.0,181.1,183.8,188.4,190.1,193.5
,,,,,,,,,,,,,,,,
17:1,1,215,1,176.0935,0.04251,7.4857,158.7,162.0,163.8,168.3,171.0 176.1,181.1,183.9,188.4,190.2,193.5
18:,0,216,1,176.1449,0.04241,7.4703,158.8,162.1,163.9,168.4,171.1 176.1,181.2,183.9,188.4,190.2,193.5
,,,,,,,,,,,,,,,,
18:,1,217,1,176.1925,0.04232,7.4565,158.8,162.2,163.9,168.5,171.2 176.2,181.2,183.9,188.5,190.2,193.5
,,,,,,,,,,,,,,,,
18:,2,218,1,176.2368,0.04222,7.4407,158.9,162.2,164.0,168.5,171.2 176.2,181.3,183.9,188.5,190.2,193.5
,,,,,,,,,,,,,,,,
18:,3,219,1,176.2779,0.04213,7.4266,159.0,162.3,164.1,168.6,171.3 176.3,181.3,184.0,188.5,190.2,193.6
,,,,,,,,,,,,,,,,
18:,4,220,1,176.3162,0.04204,7.4123,159.1,162.4,164.1,168.6,171.3 176.3,181.3,184.0,188.5,190.3,193.6
,,,,,,,,,,,,,,,,
18:,5,221,1,176.3518,0.04195,7.3980,159.1,162.4,164.2,168.7,171.4 176.4,181.3,184.0,188.5,190.3,193.6
