Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17
,,,,,,,,,,,,,,,,
9:,7,115,1,136.0533,0.04617,6.2816,121.4,124.2,125.7,129.5,131.8 136.1,140.3,142.6,146.4,147.9,150.7
9:,8,116,1,136.5670,0.04616,6.3039,121.9,124.7,126.2,130.0,132.3 136.6,140.8,143.1,146.9,148.4,151.2
9:,9,117,1,137.0821,0.04616,6.3277,122.4,125.2,126.7,130.5,132.8 137.1,141.4,143.6,147.5,149.0,151.8
,,,,,,,,,,,,,,,,
9:1,0,118,1,137.5987,0.04616,6.3516,122.8,125.7,127.2,131.0,133.3 137.6,141.9,144.2,148.0,149.5,152.4
,,,,,,,,,,,,,,,,
9:1,1,119,1,138.1167,0.04615,6.3741,123.3,126.1,127.6,131.5,133.8 138.1,142.4,144.7,148.6,150.1,152.9
10:,0,120,1,138.6363,0.04614,6.3967,123.8,126.6,128.1,132.0,134.3 138.6,143.0,145.3,149.2,150.7,153.5
,,,,,,,,,,,,,,,,
10:,1,121,1,139.1575,0.04612,6.4179,124.2,127.1,128.6,132.5,134.8 139.2,143.5,145.8,149.7,151.2,154.1
,,,,,,,,,,,,,,,,
10:,2,122,1,139.6803,0.04611,6.4407,124.7,127.6,129.1,133.0,135.3 139.7,144.0,146.4,150.3,151.8,154.7
,,,,,,,,,,,,,,,,
10:,3,123,1,140.2049,0.04609,6.4620,125.2,128.1,129.6,133.5,135.8 140.2,144.6,146.9,150.8,152.4,155.2
,,,,,,,,,,,,,,,,
10:,4,124,1,140.7313,0.04607,6.4835,125.6,128.5,130.1,134.0,136.4 140.7,145.1,147.5,151.4,152.9,155.8
,,,,,,,,,,,,,,,,
10:,5,125,1,141.2594,0.04605,6.5050,126.1,129.0,130.6,134.5,136.9 141.3,145.6,148.0,152.0,153.5,156.4
10:,6,126,1,141.7892,0.04603,6.5266,126.6,129.5,131.1,135.0,137.4 141.8,146.2,148.6,152.5,154.1,157.0
,,,,,,,,,,,,,,,,
10:,7,127,1,142.3206,0.04600,6.5467,127.1,130.0,131.6,135.5,137.9 142.3,146.7,149.1,153.1,154.6,157.6
,,,,,,,,,,,,,,,,
10:,8,128,1,142.8534,0.04597,6.5670,127.6,130.5,132.1,136.0,138.4 142.9,147.3,149.7,153.7,155.2,158.1
,,,,,,,,,,,,,,,,
10:,9,129,1,143.3874,0.04594,6.5872,128.1,131.0,132.6,136.6,138.9 143.4,147.8,150.2,154.2,155.8,158.7
,,,,,,,,,,,,,,,,
10:1,0,130,1,143.9222,0.04591,6.6075,128.6,131.5,133.1,137.1,139.5 143.9,148.4,150.8,154.8,156.3,159.3
,,,,,,,,,,,,,,,,
10:1,1,131,1,144.4575,0.04588,6.6277,129.0,132.0,133.6,137.6,140.0 144.5,148.9,151.3,155.4,156.9,159.9
11:,0,132,1,144.9929,0.04584,6.6465,129.5,132.5,134.1,138.1,140.5 145.0,149.5,151.9,155.9,157.5,160.5
,,,,,,,,,,,,,,,,
11:,1,133,1,145.5280,0.04580,6.6652,130.0,133.0,134.6,138.6,141.0 145.5,150.0,152.4,156.5,158.1,161.0
,,,,,,,,,,,,,,,,
11:,2,134,1,146.0622,0.04576,6.6838,130.5,133.5,135.1,139.1,141.6 146.1,150.6,153.0,157.1,158.6,161.6
,,,,,,,,,,,,,,,,
11:,3,135,1,146.5951,0.04571,6.7009,131.0,134.0,135.6,139.7,142.1 146.6,151.1,153.5,157.6,159.2,162.2
"--- PAGE 4, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
r: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
11:,4,136,1,147.1262,0.04567,6.7193,131.5,134.5,136.1,140.2,142.6 147.1,151.7,154.1,158.2,159.8,162.8
11:,5,137,1,147.6548,0.04562,6.7360,132.0,135.0,136.6,140.7,143.1 147.7,152.2,154.6,158.7,160.3,163.3
11:,6,138,1,148.1804,0.04557,6.7526,132.5,135.5,137.1,141.2,143.6 148.2,152.7,155.2,159.3,160.9,163.9
,,,,,,,,,,,,,,,,
11:,7,139,1,148.7023,0.04552,6.7689,133.0,136.0,137.6,141.7,144.1 148.7,153.3,155.7,159.8,161.4,164.4
11:,8,140,1,149.2197,0.04546,6.7835,133.4,136.5,138.1,142.2,144.6 149.2,153.8,156.3,160.4,162.0,165.0
11:,9,141,1,149.7322,0.04541,6.7993,133.9,136.9,138.5,142.7,145.1 149.7,154.3,156.8,160.9,162.5,165.6
,,,,,,,,,,,,,,,,
11:1,0,142,1,150.2390,0.04535,6.8133,134.4,137.4,139.0,143.2,145.6 150.2,154.8,157.3,161.4,163.1,166.1
,,,,,,,,,,,,,,,,
11:1,1,143,1,150.7394,0.04529,6.8270,134.9,137.9,139.5,143.7,146.1 150.7,155.3,157.8,162.0,163.6,166.6
12:,0,144,1,151.2327,0.04523,6.8403,135.3,138.4,140.0,144.1,146.6 151.2,155.8,158.3,162.5,164.1,167.1
,,,,,,,,,,,,,,,,
12:,1,145,1,151.7182,0.04516,6.8516,135.8,138.8,140.4,144.6,147.1 151.7,156.3,158.8,163.0,164.6,167.7
,,,,,,,,,,,,,,,,
12:,2,146,1,152.1951,0.04510,6.8640,136.2,139.3,140.9,145.1,147.6 152.2,156.8,159.3,163.5,165.1,168.2
,,,,,,,,,,,,,,,,
12:,3,147,1,152.6628,0.04503,6.8744,136.7,139.7,141.4,145.5,148.0 152.7,157.3,159.8,164.0,165.6,168.7
,,,,,,,,,,,,,,,,
12:,4,148,1,153.1206,0.04497,6.8858,137.1,140.2,141.8,146.0,148.5 153.1,157.8,160.3,164.4,166.1,169.1
,,,,,,,,,,,,,,,,
12:,5,149,1,153.5678,0.04490,6.8952,137.5,140.6,142.2,146.4,148.9 153.6,158.2,160.7,164.9,166.5,169.6
12:,6,150,1,154.0041,0.04483,6.9040,137.9,141.0,142.6,146.8,149.3 154.0,158.7,161.2,165.4,167.0,170.1
,,,,,,,,,,,,,,,,
12:,7,151,1,154.4290,0.04476,6.9122,138.3,141.4,143.1,147.3,149.8 154.4,159.1,161.6,165.8,167.4,170.5
,,,,,,,,,,,,,,,,
12:,8,152,1,154.8423,0.04468,6.9184,138.7,141.8,143.5,147.7,150.2 154.8,159.5,162.0,166.2,167.9,170.9
,,,,,,,,,,,,,,,,
12:,9,153,1,155.2437,0.04461,6.9254,139.1,142.2,143.9,148.1,150.6 155.2,159.9,162.4,166.6,168.3,171.4
,,,,,,,,,,,,,,,,
12:1,0,154,1,155.6330,0.04454,6.9319,139.5,142.6,144.2,148.4,151.0 155.6,160.3,162.8,167.0,168.7,171.8
,,,,,,,,,,,,,,,,
12:1,1,155,1,156.0101,0.04446,6.9362,139.9,143.0,144.6,148.8,151.3 156.0,160.7,163.2,167.4,169.1,172.1
13:,0,156,1,156.3748,0.04439,6.9415,140.2,143.3,145.0,149.2,151.7 156.4,161.1,163.6,167.8,169.4,172.5
,,,,,,,,,,,,,,,,
13:,1,157,1,156.7269,0.04431,6.9446,140.6,143.7,145.3,149.5,152.0 156.7,161.4,163.9,168.2,169.8,172.9
,,,,,,,,,,,,,,,,
13:,2,158,1,157.0666,0.04423,6.9471,140.9,144.0,145.6,149.9,152.4 157.1,161.8,164.3,168.5,170.1,173.2
,,,,,,,,,,,,,,,,
13:,3,159,1,157.3936,0.04415,6.9489,141.2,144.3,146.0,150.2,152.7 157.4,162.1,164.6,168.8,170.5,173.6
"--- PAGE 5, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
r: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
13:,4,160,1,157.7082,0.04408,6.9518,141.5,144.6,146.3,150.5,153.0 157.7,162.4,164.9,169.1,170.8,173.9
13:,5,161,1,158.0102,0.04400,6.9524,141.8,144.9,146.6,150.8,153.3 158.0,162.7,165.2,169.4,171.1,174.2
13:,6,162,1,158.2997,0.04392,6.9525,142.1,145.2,146.9,151.1,153.6 158.3,163.0,165.5,169.7,171.4,174.5
,,,,,,,,,,,,,,,,
13:,7,163,1,158.5771,0.04384,6.9520,142.4,145.5,147.1,151.4,153.9 158.6,163.3,165.8,170.0,171.7,174.8
13:,8,164,1,158.8425,0.04376,6.9509,142.7,145.8,147.4,151.6,154.2 158.8,163.5,166.0,170.3,171.9,175.0
13:,9,165,1,159.0961,0.04369,6.9509,142.9,146.0,147.7,151.9,154.4 159.1,163.8,166.3,170.5,172.2,175.3
,,,,,,,,,,,,,,,,
13:1,0,166,1,159.3382,0.04361,6.9487,143.2,146.3,147.9,152.1,154.7 159.3,164.0,166.5,170.8,172.4,175.5
,,,,,,,,,,,,,,,,
13:1,1,167,1,159.5691,0.04353,6.9460,143.4,146.5,148.1,152.4,154.9 159.6,164.3,166.8,171.0,172.6,175.7
14:,0,168,1,159.7890,0.04345,6.9428,143.6,146.7,148.4,152.6,155.1 159.8,164.5,167.0,171.2,172.8,175.9
,,,,,,,,,,,,,,,,
14:,1,169,1,159.9983,0.04337,6.9391,143.9,146.9,148.6,152.8,155.3 160.0,164.7,167.2,171.4,173.0,176.1
,,,,,,,,,,,,,,,,
14:,2,170,1,160.1971,0.04330,6.9365,144.1,147.2,148.8,153.0,155.5 160.2,164.9,167.4,171.6,173.2,176.3
,,,,,,,,,,,,,,,,
14:,3,171,1,160.3857,0.04322,6.9319,144.3,147.3,149.0,153.2,155.7 160.4,165.1,167.6,171.8,173.4,176.5
,,,,,,,,,,,,,,,,
14:,4,172,1,160.5643,0.04314,6.9267,144.5,147.5,149.2,153.4,155.9 160.6,165.2,167.7,172.0,173.6,176.7
,,,,,,,,,,,,,,,,
14:,5,173,1,160.7332,0.04307,6.9228,144.6,147.7,149.3,153.6,156.1 160.7,165.4,167.9,172.1,173.8,176.8
14:,6,174,1,160.8927,0.04299,6.9168,144.8,147.9,149.5,153.7,156.2 160.9,165.6,168.1,172.3,173.9,177.0
,,,,,,,,,,,,,,,,
14:,7,175,1,161.0430,0.04292,6.9120,145.0,148.0,149.7,153.9,156.4 161.0,165.7,168.2,172.4,174.0,177.1
,,,,,,,,,,,,,,,,
14:,8,176,1,161.1845,0.04284,6.9051,145.1,148.2,149.8,154.0,156.5 161.2,165.8,168.3,172.5,174.2,177.2
,,,,,,,,,,,,,,,,
14:,9,177,1,161.3176,0.04277,6.8996,145.3,148.3,150.0,154.2,156.7 161.3,166.0,168.5,172.7,174.3,177.4
,,,,,,,,,,,,,,,,
14:1,0,178,1,161.4425,0.04270,6.8936,145.4,148.5,150.1,154.3,156.8 161.4,166.1,168.6,172.8,174.4,177.5
,,,,,,,,,,,,,,,,
14:1,1,179,1,161.5596,0.04263,6.8873,145.5,148.6,150.2,154.4,156.9 161.6,166.2,168.7,172.9,174.5,177.6
15:,0,180,1,161.6692,0.04255,6.8790,145.7,148.7,150.4,154.5,157.0 161.7,166.3,168.8,173.0,174.6,177.7
,,,,,,,,,,,,,,,,
15:,1,181,1,161.7717,0.04248,6.8721,145.8,148.8,150.5,154.6,157.1 161.8,166.4,168.9,173.1,174.7,177.8
,,,,,,,,,,,,,,,,
15:,2,182,1,161.8673,0.04241,6.8648,145.9,149.0,150.6,154.8,157.2 161.9,166.5,169.0,173.2,174.8,177.8
,,,,,,,,,,,,,,,,
15:,3,183,1,161.9564,0.04235,6.8589,146.0,149.1,150.7,154.8,157.3 162.0,166.6,169.1,173.2,174.9,177.9
"--- PAGE 6, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
r: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
15:,4,184,1,162.0393,0.04228,6.8510,146.1,149.2,150.8,154.9,157.4 162.0,166.7,169.1,173.3,174.9,178.0
15:,5,185,1,162.1164,0.04221,6.8429,146.2,149.2,150.9,155.0,157.5 162.1,166.7,169.2,173.4,175.0,178.0
15:,6,186,1,162.1880,0.04214,6.8346,146.3,149.3,150.9,155.1,157.6 162.2,166.8,169.3,173.4,175.0,178.1
,,,,,,,,,,,,,,,,
15:,7,187,1,162.2542,0.04208,6.8277,146.4,149.4,151.0,155.2,157.6 162.3,166.9,169.3,173.5,175.1,178.1
15:,8,188,1,162.3154,0.04201,6.8189,146.5,149.5,151.1,155.2,157.7 162.3,166.9,169.4,173.5,175.1,178.2
15:,9,189,1,162.3719,0.04195,6.8115,146.5,149.6,151.2,155.3,157.8 162.4,167.0,169.4,173.6,175.2,178.2
,,,,,,,,,,,,,,,,
15:1,0,190,1,162.4239,0.04189,6.8039,146.6,149.6,151.2,155.4,157.8 162.4,167.0,169.5,173.6,175.2,178.3
,,,,,,,,,,,,,,,,
15:1,1,191,1,162.4717,0.04182,6.7946,146.7,149.7,151.3,155.4,157.9 162.5,167.1,169.5,173.6,175.3,178.3
16:,0,192,1,162.5156,0.04176,6.7867,146.7,149.8,151.4,155.5,157.9 162.5,167.1,169.6,173.7,175.3,178.3
,,,,,,,,,,,,,,,,
16:,1,193,1,162.5560,0.04170,6.7786,146.8,149.8,151.4,155.5,158.0 162.6,167.1,169.6,173.7,175.3,178.3
,,,,,,,,,,,,,,,,
16:,2,194,1,162.5933,0.04164,6.7704,146.8,149.9,151.5,155.6,158.0 162.6,167.2,169.6,173.7,175.3,178.3
,,,,,,,,,,,,,,,,
16:,3,195,1,162.6276,0.04158,6.7621,146.9,149.9,151.5,155.6,158.1 162.6,167.2,169.6,173.8,175.3,178.4
,,,,,,,,,,,,,,,,
16:,4,196,1,162.6594,0.04152,6.7536,146.9,150.0,151.6,155.7,158.1 162.7,167.2,169.7,173.8,175.4,178.4
,,,,,,,,,,,,,,,,
16:,5,197,1,162.6890,0.04147,6.7467,147.0,150.0,151.6,155.7,158.1 162.7,167.2,169.7,173.8,175.4,178.4
16:,6,198,1,162.7165,0.04141,6.7381,147.0,150.0,151.6,155.7,158.2 162.7,167.3,169.7,173.8,175.4,178.4
,,,,,,,,,,,,,,,,
16:,7,199,1,162.7425,0.04136,6.7310,147.1,150.1,151.7,155.8,158.2 162.7,167.3,169.7,173.8,175.4,178.4
,,,,,,,,,,,,,,,,
16:,8,200,1,162.7670,0.04130,6.7223,147.1,150.1,151.7,155.8,158.2 162.8,167.3,169.7,173.8,175.4,178.4
,,,,,,,,,,,,,,,,
16:,9,201,1,162.7904,0.04125,6.7151,147.2,150.2,151.7,155.8,158.3 162.8,167.3,169.8,173.8,175.4,178.4
,,,,,,,,,,,,,,,,
16:1,0,202,1,162.8126,0.04119,6.7063,147.2,150.2,151.8,155.9,158.3 162.8,167.3,169.8,173.8,175.4,178.4
,,,,,,,,,,,,,,,,
16:1,1,203,1,162.8340,0.04114,6.6990,147.3,150.2,151.8,155.9,158.3 162.8,167.4,169.8,173.9,175.4,178.4
17:,0,204,1,162.8545,0.04109,6.6917,147.3,150.3,151.8,155.9,158.3 162.9,167.4,169.8,173.9,175.4,178.4
,,,,,,,,,,,,,,,,
17:,1,205,1,162.8743,0.04104,6.6844,147.3,150.3,151.9,155.9,158.4 162.9,167.4,169.8,173.9,175.4,178.4
,,,,,,,,,,,,,,,,
17:,2,206,1,162.8935,0.04099,6.6770,147.4,150.3,151.9,156.0,158.4 162.9,167.4,169.8,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
17:,3,207,1,162.9120,0.04094,6.6696,147.4,150.4,151.9,156.0,158.4 162.9,167.4,169.8,173.9,175.5,178.4
"--- PAGE 7, TABLE 1 ---",,,,,,,,,,,,,,,,
9 y,ears,(percentiles),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Percentiles (height,in cm),,,,
,,,,,,,,,,,,,,,,
r: M,onth,Month,L,M,S,SD,1st,3rd,5th,15th,25th 50th,75th,85th,95th,97th,99th
,,,,,,,,,,,,,,,,
17:,4,208,1,162.9300,0.04089,6.6622,147.4,150.4,152.0,156.0,158.4 162.9,167.4,169.8,173.9,175.5,178.4
17:,5,209,1,162.9476,0.04084,6.6548,147.5,150.4,152.0,156.1,158.5 162.9,167.4,169.8,173.9,175.5,178.4
17:,6,210,1,162.9649,0.04080,6.6490,147.5,150.5,152.0,156.1,158.5 163.0,167.5,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
17:,7,211,1,162.9817,0.04075,6.6415,147.5,150.5,152.1,156.1,158.5 163.0,167.5,169.9,173.9,175.5,178.4
17:,8,212,1,162.9983,0.04071,6.6357,147.6,150.5,152.1,156.1,158.5 163.0,167.5,169.9,173.9,175.5,178.4
17:,9,213,1,163.0144,0.04066,6.6282,147.6,150.5,152.1,156.1,158.5 163.0,167.5,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
17:1,0,214,1,163.0300,0.04062,6.6223,147.6,150.6,152.1,156.2,158.6 163.0,167.5,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
17:1,1,215,1,163.0451,0.04058,6.6164,147.7,150.6,152.2,156.2,158.6 163.0,167.5,169.9,173.9,175.5,178.4
18:,0,216,1,163.0595,0.04053,6.6088,147.7,150.6,152.2,156.2,158.6 163.1,167.5,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:,1,217,1,163.0733,0.04049,6.6028,147.7,150.7,152.2,156.2,158.6 163.1,167.5,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:,2,218,1,163.0862,0.04045,6.5968,147.7,150.7,152.2,156.2,158.6 163.1,167.5,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:,3,219,1,163.0982,0.04041,6.5908,147.8,150.7,152.3,156.3,158.7 163.1,167.5,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:,4,220,1,163.1092,0.04037,6.5847,147.8,150.7,152.3,156.3,158.7 163.1,167.6,169.9,173.9,175.5,178.4
,,,,,,,,,,,,,,,,
18:,5,221,1,163.1192,0.04034,6.5802,147.8,150.7,152.3,156.3,158.7 163.1,167.6,169.9,173.9,175.5,178.4
